file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-D-2015-P-D-B02-2-R-01_0017_126081_to_135548,ཁོང་ཚོ་ཡོད་བ། མི་གཉིས་དེ་ཐུག་རེད་ད་ཡོད་བ། ཨེ་ནས།  ,khong tsho yod ba/_mi gnyis de thug red da yod ba/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0017_126081_to_135548.wav,STT_CS,3,50,9.467,wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0017_126081_to_135548.wav,ཁོང་ཚོ་ཡོད་བ། ཨ་ཉིས་དེ་ཐུག་རེད་ད་ཡོད་བ་ཨེ་ནས། འ
STT_CS-D-2015-P-D-B02-2-R-01_0018_135548_to_145015,ཨ་ནས་ཡང་འགོ་ནས་འགྲོ་ལབ་རེད་དཱ། འགྲོ་རེད། ཨ་ནས་ཡོད་བ། ཏག་ཏག་ཏག་ལབ་སོང་དཱ། སུ་ཡིན་པས་ལབ་རེད་དཱ། མོ་གཅིག་རེད་དཱ། ཨ་ནས་ཡོད་བ།  ,a nas yang 'go nas 'gro lab red dA/_'gro red/_a nas yod ba/_tag tag tag lab song dA/_su yin pas lab red dA/_mo gcig red dA/_a nas yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0018_135548_to_145015.wav,STT_CS,3,123,9.467,wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0018_135548_to_145015.wav,ཨ་ནས་ཡང་ཁོང་འགྲོ་ལབ་རེད་ད། སོ་ལབ་རེད་ད་ཡོད་བ། ཏག་ཏག་ཏག་ལབ་རེད་ད། སུ་ཡིན་པས་ལབ་རེད་ད། འོ་ཅི་རེད་ད། ཨ་ནས་ཡོད་བ།
STT_CS-D-2015-P-D-B02-2-R-01_0019_145656_to_154870,སྔན་མ་སྔན་མ་བློ་ཁོག་ཡོད་རེད་དཱ། འོ་དེ་ཡོད་བ། འགོ་ནས་ཁ་ལག་སྤྲད་དང་ལབ་རེད་དཱ། ཁ་ལག་སྤྲད་རེད་ད་ཡོད་བ། ཨ་ནས་ཡོད་བ། ཨ་ནས་ཁ་ལག ,sngan ma sngan ma blo khog yod red dA/_'o de yod ba/_'go nas kha lag sprad dang lab red dA/_kha lag sprad red da yod ba/_a nas yod ba/_a nas kha lag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0019_145656_to_154870.wav,STT_CS,3,121,9.214,wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0019_145656_to_154870.wav,སྔོན་མ་སྔོན་མ་པ་པོ་ཡོད་རེད་ད། འོ་དེས་ཡོད་བ། ཨ་ནས་ཁ་ལག་སྤྲད་དང་ལབ་རེད་ད།  ཁ་ལག་སྤྲད་རེད་ད་ཡོད་བ། ཨ་ནས་ཡོད་བ། ཨ་ནས་ཁ་ལག
STT_CS-D-2015-P-D-B02-2-R-01_0020_154870_to_164084,ཟ་རེད་ད། བུ་དེས་ཡོད་བ། ཁ་ལག་ཟ་ནས་འགྲིག་སོ་ལབ་རེད་ད་ཡོད་བ། ཨ་ནས་རྨོ་རྨོ་དང་། ཡོད་བ་ཇོ་ཇོ་གཅིག་ཡོད་རེད་ད་འོ་དེ་ཡོད་བ།  ,za red da/_bu des yod ba/_kha lag za nas 'grig so lab red da yod ba/_a nas rmo rmo dang /_yod ba jo jo gcig yod red da 'o de yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0020_154870_to_164084.wav,STT_CS,3,117,9.214,wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0020_154870_to_164084.wav,ཟ་རེད་ད། བུ་དེ་ཡོད་བ། ་་དི་ལབ་རེད་ད་ཡོད་བ། རྨོ་རྨོ་དང་ཡོད་བ་ཇོ་ཇོ་གཅིག་ཡོད་རེད་ད། འོ་དེ་ཡོད་བ།
STT_CS-D-2015-P-D-B02-2-R-01_0021_164320_to_166750,འོ་དེ་ཡོད་བ།  ,'o de yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0021_164320_to_166750.wav,STT_CS,3,14,2.43,wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0021_164320_to_166750.wav,འོ་དེ་ཡོད་བ།
STT_CS-D-2015-P-D-B02-2-R-01_0022_167155_to_169720,ཨ་ནས་དེ་ཡོད་བ།  ,a nas de yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0022_167155_to_169720.wav,STT_CS,3,16,2.565,wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0022_167155_to_169720.wav,ཨེ་ནས་འདི་ཡོད་བ།
STT_CS-D-2015-P-D-B02-2-R-01_0023_169804_to_178737,གང་ག་ཕར་ཁོ་ཌོཀ་ཋར་ཆགས་རཱ། ཕྱེས་ལབ་རེད། ངའི་རྨོ་རྨོ། ཨ་ནས་བུ་མོ་གཅིག་བླུག་རེད་དཱ། བུ་དེ་གིས། མགྱོགས་པོ་མགྱོགས་པོ་སྒོ་ཕྱེས་རེད་ད་ཡོད་བ།  ,gang ga phar kho Doka Thar chags rA/_phyes lab red/_nga'i rmo rmo/_a nas bu mo gcig blug red dA/_bu de gis/_mgyogs po mgyogs po sgo phyes red da yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0023_169804_to_178737.wav,STT_CS,3,135,8.933,wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0023_169804_to_178737.wav,ལམ་ཁ་ཕ་་རོགས་པ་བྱགས་ལརེད།ལ། ཨ་ནསརྨོོ། ཨ་ནས་ད་བུ་མོ་གཅིག་ཐུག་རེད་དཱ། བུ་དེས་་་རྒྱག་དུས་རོགས་པ་བྱས་རེད་ད་ཡོད་བ།
STT_CS-D-2015-P-D-B02-2-R-01_0034_272370_to_281323,བུ་འོག་མ་དེས་གདོན་འདྲེ་མཐོང་རེད་ད་ཡོད་བ། མེ་འབར་ནས། ཨ་ནས་བུ་དེ་བྱ་དགའ་གཅིག་གཙུགས་བསྡད་རཱ། ཨ་ནས་ཨ་ཡ།  ,bu 'og ma des gdon 'dre mthong red da yod ba/_me 'bar nas/_a nas bu de bya dga' gcig gtsugs bsdad rA/_a nas a ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0034_272370_to_281323.wav,STT_CS,3,101,8.953,wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0034_272370_to_281323.wav,བུ་བུ་མོ་དེ་བུ་ི་བཏུང་དེད་ད་ཡོད་བ། མེ་སབབ་ནས། ཨེ་ནས་བུ་དེ་ཛེར་ཀ་གཅིག་བཙུག་བསྡད་ཡོད་རཱ། ཨ་ནས་ཨ་ཡོ།
STT_CS-D-2015-P-D-B02-2-R-01_0035_281323_to_290275,ཨ་ལག་པ་ཡོད་བ་ཆག་རེད། ན་རེད་ད་ཡོད་བ། ཨ་ནས་བུ་འགྲམ་ལ་སྦྲུལ་གཅིག་བསླེབས་རེད་ད་ཡོད་བ། རྫོགས་སོང་།  ,a lag pa yod ba chag red/_na red da yod ba/_a nas bu 'gram la sbrul gcig bslebs red da yod ba/_rdzogs song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0035_281323_to_290275.wav,STT_CS,3,95,8.952,wav16k/STT_CS-D-2015-P-D-B02-2-R-01_0035_281323_to_290275.wav,ལག་པ་ཡོད་བ་ཆག ན་རེད་ད་ཡོད་བ། ཨ་ནས ཨེ་ནས་བུ་འགྲམ་ལ་བྷ་ལི་གཅིག་སླེབས་རེད་ད་ཡོད་བ། ྫོག་སོང་།
STT_TT00063_06873.950-06880.550,ད་ཆ། གསང་སྔགས། འགོ་བཙུགས་ཡ་གི་ཆེད་དུ་བཤད་བསྡད་གོ་རེད་ད། གསང་སྔགས་ཀི། སྐོར་དེ་འགོ་བཙུགས་ཡ་གི་ཆེད་དུ་ད་འདི་བཤད་བསྡད་གོ་རེད།  ,da cha/_gsang sngags/_'go btsugs ya gi ched du bshad bsdad go red da/_gsang sngags ki/_skor de 'go btsugs ya gi ched du da 'di bshad bsdad go red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00063_06873.950-06880.550.wav,STT_TT,3,123,6.600000000000364,wav16k/STT_TT00063_06873.950-06880.550.wav,ད་ཆག། གསང་སྔགས་ཀི། འགོ་བཙུགས་ཡ་གི་ཆེད་དུ་བཤད་བསྡད་གོ་རེད་ད། གསང་སྔགས་ཀི།་སྐོར་དེ།་འགོ་བཙུགས་ཡ་གི་ཆེད་དུ། ད་ལྟ་བཤད་བསྡད་གོ་རེད།
